Target Word,AI Prediction,Rule-Based Prediction,Entropy Prediction,Steps
HOLEY,HOLEY,HOLEY,POLEY,4
HOLEY,HOLEY,HOLEY,HOLEY,5
HOLEY,HOLEY,HOLEY,HOLEY,6
IAMBI,ADLIB,OTIUM,ALOIN,1
IAMBI,IAMBI,ADMIX,MATAI,2
IAMBI,IAMBI,IAMBI,IAMBI,3
IAMBI,IAMBI,IAMBI,IAMBI,4
IAMBI,IAMBI,IAMBI,IAMBI,5
IAMBI,IAMBI,IAMBI,IAMBI,6
GLAIR,SAGES,GRRRL,GARES,1
GLAIR,GRAFF,GLAIR,GRANT,2
GLAIR,GLARY,GLAIR,GLAIR,3
GLAIR,GLAIR,GLAIR,GLAIR,4
GLAIR,GLAIR,GLAIR,GLAIR,5
GLAIR,GLAIR,GLAIR,GLAIR,6
DELIS,LOLLS,LINTS,SOLEI,1
DELIS,SELES,GLEIS,EILDS,2
DELIS,PELTS,DELIS,DELIS,3
DELIS,NELIS,DELIS,DELIS,4
DELIS,DELIS,DELIS,DELIS,5
DELIS,DELIS,DELIS,DELIS,6
PHYMA,SOMAS,DUSTS,TOLAS,1
PHYMA,MADLY,GAMBO,MAUBY,2
PHYMA,PHYMA,MYALL,PHYMA,3
PHYMA,PHYMA,PHYMA,PHYMA,4
PHYMA,PHYMA,PHYMA,PHYMA,5
PHYMA,PHYMA,PHYMA,PHYMA,6
EXITS,REIFS,LEIRS,LEIRS,1
EXITS,CLIES,HUIES,ACIES,2
EXITS,EXITS,EXITS,EXITS,3
EXITS,EXITS,EXITS,EXITS,4
EXITS,EXITS,EXITS,EXITS,5
EXITS,EXITS,EXITS,EXITS,6
ALANT,PANNE,TWAIN,TENIA,1
ALANT,BRAND,PLANT,NOTAL,2
ALANT,ALANG,ALANT,ALANT,3
ALANT,ALANT,ALANT,ALANT,4
ALANT,ALANT,ALANT,ALANT,5
ALANT,ALANT,ALANT,ALANT,6
THUJA,GADJE,JEUNE,JAUNE,1
THUJA,MUNJA,AJUPA,AJUGA,2
THUJA,THUJA,THUJA,THUJA,3
THUJA,THUJA,THUJA,THUJA,4
THUJA,THUJA,THUJA,THUJA,5
THUJA,THUJA,THUJA,THUJA,6
DOZES,SNEES,YEXES,LORES,1
DOZES,ROLES,WIZES,NOMES,2
DOZES,TOTES,DOZES,COTES,3
DOZES,HOKES,DOZES,POXES,4
DOZES,FOMES,DOZES,GOKES,5
DOZES,DOGES,DOZES,DOZES,6
ARHAT,TARTS,RISKY,TIARS,1
ARHAT,BRANT,HURRA,RANTY,2
ARHAT,ARHAT,BRACH,CURAT,3
ARHAT,ARHAT,ARHAT,ARHAT,4
ARHAT,ARHAT,ARHAT,ARHAT,5
ARHAT,ARHAT,ARHAT,ARHAT,6
OINKS,MIRES,NIESS,RITES,1
OINKS,BINDS,LIONS,LINKS,2
OINKS,FINKS,DINOS,KINKS,3
OINKS,GINKS,OINKS,PINKS,4
OINKS,LINKS,OINKS,BINKS,5
OINKS,PINKS,OINKS,MINKS,6
JOINS,SAKIS,IDDAH,TAINS,1
JOINS,TOITS,SPINY,SHINS,2
JOINS,COINS,TWINS,JOINS,3
JOINS,JOINS,COINS,JOINS,4
JOINS,JOINS,JOINS,JOINS,5
JOINS,JOINS,JOINS,JOINS,6
PACTS,SCADS,SCRAB,ACIES,1
PACTS,PACAS,FACES,PACTS,2
PACTS,PACKS,WACKS,PACTS,3
PACTS,PACES,TACOS,PACTS,4
PACTS,PACOS,PACTS,PACTS,5
PACTS,PACTS,PACTS,PACTS,6
DOORS,SORES,VEINY,TORES,1
DOORS,ROOMS,HOGGS,ROUMS,2
DOORS,BOORS,MOJOS,BOORS,3
DOORS,DOORS,DOWDS,DOORS,4
DOORS,DOORS,DOOFS,DOORS,5
DOORS,DOORS,DOORS,DOORS,6
SCOTS,SCUTS,TOCKY,COSTA,1
SCOTS,SCATS,CLOTH,SCOTS,2
SCOTS,SCOTS,SCOTS,SCOTS,3
SCOTS,SCOTS,SCOTS,SCOTS,4
SCOTS,SCOTS,SCOTS,SCOTS,5
SCOTS,SCOTS,SCOTS,SCOTS,6
LINGO,LOLLS,BULSE,SOLEI,1
LINGO,LIVOR,WHILK,LIBOR,2
LINGO,LINGO,LOGIN,LITHO,3
LINGO,LINGO,LINGO,LINGO,4
LINGO,LINGO,LINGO,LINGO,5
LINGO,LINGO,LINGO,LINGO,6
CHAFF,BEACH,HAINT,THRAE,1
CHAFF,CHART,ALEPH,CHANK,2
CHAFF,CHANK,WHAUR,CHAWL,3
CHAFF,CHAFF,CHACK,CHAMP,4
CHAFF,CHAFF,CHAFF,CHAVA,5
CHAFF,CHAFF,CHAFF,CHAFF,6
SIBIA,SCABS,RIOJA,LARIS,1
SIBIA,SABIR,VILLA,OUSIA,2
SIBIA,SIBIA,WICCA,SIBIA,3
SIBIA,SIBIA,SIBIA,SIBIA,4
SIBIA,SIBIA,SIBIA,SIBIA,5
SIBIA,SIBIA,SIBIA,SIBIA,6
CROWD,STOOR,SIXMO,DEROS,1
CROWD,CRORE,VROUW,PRODD,2
CROWD,CROUP,PROWK,CROWD,3
CROWD,CROCK,FROWY,CROWD,4
CROWD,CROMB,CROWD,CROWD,5
CROWD,CROWD,CROWD,CROWD,6
ORANS,AGBAS,IDEAL,TEARS,1
ORANS,SEATS,GNAWN,GRABS,2
ORANS,CRANS,ORANT,CRAPS,3
ORANS,KRANS,ORANS,KRAIS,4
ORANS,ORANS,ORANS,ORANS,5
ORANS,ORANS,ORANS,ORANS,6
IMBOS,MIMIS,MITIS,MANIS,1
IMBOS,IMBOS,IMBOS,LIMBS,2
IMBOS,IMBOS,IMBOS,IMBOS,3
IMBOS,IMBOS,IMBOS,IMBOS,4
IMBOS,IMBOS,IMBOS,IMBOS,5
IMBOS,IMBOS,IMBOS,IMBOS,6
OLIGO,SAKIS,LWEIS,RAINS,1
OLIGO,TRINE,UGALI,TOILE,2
OLIGO,CHILL,GLINT,OLIGO,3
OLIGO,OLIGO,OLIGO,OLIGO,4
OLIGO,OLIGO,OLIGO,OLIGO,5
OLIGO,OLIGO,OLIGO,OLIGO,6
BAGIE,REEVE,NOLLE,TEARS,1
BAGIE,SPALE,BREVE,ALINE,2
BAGIE,ACONE,BEIGE,MAVIE,3
BAGIE,MAKIE,BAGIE,JAKIE,4
BAGIE,JAXIE,BAGIE,BAGIE,5
BAGIE,TATIE,BAGIE,BAGIE,6
RINSE,SNEES,ENVOY,RONES,1
RINSE,NOOSE,RINGE,RINSE,2
RINSE,MINSE,RINCE,RINSE,3
RINSE,RINSE,RINSE,RINSE,4
RINSE,RINSE,RINSE,RINSE,5
RINSE,RINSE,RINSE,RINSE,6
ZAIDA,BAAED,DEERE,RAILE,1
ZAIDA,DACHA,CHILD,HAIKA,2
ZAIDA,PADMA,ZAIDA,BAIZA,3
ZAIDA,VANDA,ZAIDA,ZAIDA,4
ZAIDA,ZARDA,ZAIDA,ZAIDA,5
ZAIDA,ZAIDA,ZAIDA,ZAIDA,6
USETA,REEVE,PEKAU,TEARS,1
USETA,SMELT,VALUE,SCEAT,2
USETA,THEWS,USETA,USETA,3
USETA,USETA,USETA,USETA,4
USETA,USETA,USETA,USETA,5
USETA,USETA,USETA,USETA,6
REGAL,REBBE,REFRY,RENAY,1
REGAL,READY,RENTE,RETAX,2
REGAL,REMAN,REBAR,REBAR,3
REGAL,REGAL,REGAL,REMAP,4
REGAL,REGAL,REGAL,REEAF,5
REGAL,REGAL,REGAL,REGAL,6
FEINT,SAINT,GLINT,SAINT,1
FEINT,JOINT,JOINT,FEINT,2
FEINT,FEINT,AHINT,FEINT,3
FEINT,FEINT,MEINT,FEINT,4
FEINT,FEINT,FEINT,FEINT,5
FEINT,FEINT,FEINT,FEINT,6
SKEIN,SUPED,SKUNK,STIRE,1
SKEIN,STELE,SKEIN,SILEN,2
SKEIN,SMERK,SKEIN,SDEIN,3
SKEIN,SKEIN,SKEIN,SKEIN,4
SKEIN,SKEIN,SKEIN,SKEIN,5
SKEIN,SKEIN,SKEIN,SKEIN,6
VOBLA,COLEY,KOFTA,DOLEY,1
VOBLA,POKAL,MOLLA,LOUMA,2
VOBLA,DOBLA,VOBLA,VOBLA,3
VOBLA,VOBLA,VOBLA,VOBLA,4
VOBLA,VOBLA,VOBLA,VOBLA,5
VOBLA,VOBLA,VOBLA,VOBLA,6
SQUIZ,SIRES,RETIE,TINES,1
SQUIZ,SULCI,MUCIN,SULCI,2
SQUIZ,SQUIT,SQUIZ,SQUIZ,3
SQUIZ,SQUIB,SQUIZ,SQUIZ,4
SQUIZ,SQUIZ,SQUIZ,SQUIZ,5
SQUIZ,SQUIZ,SQUIZ,SQUIZ,6
KNITS,SABES,EMIRS,TARES,1
KNITS,COOTS,OBITS,SILTS,2
KNITS,GILTS,SPITS,OMITS,3
KNITS,FRITS,TAITS,CHITS,4
KNITS,KNITS,CLITS,KNITS,5
KNITS,KNITS,KNITS,KNITS,6
ABACA,SABES,HAILS,TARES,1
ABACA,ARABA,BETTA,MILPA,2
ABACA,ABAKA,UMBRA,BHAVA,3
ABACA,ABACA,ABACA,ABACA,4
ABACA,ABACA,ABACA,ABACA,5
ABACA,ABACA,ABACA,ABACA,6
GALLY,BAAED,PLEBE,MANIE,1
GALLY,NAMAZ,ICILY,BALDY,2
GALLY,PALLY,HULLY,WALLY,3
GALLY,GALLY,DALLY,GALLY,4
GALLY,GALLY,WALLY,GALLY,5
GALLY,GALLY,GALLY,GALLY,6
DATTO,BARCA,CACTI,TARED,1
DATTO,MATEY,TATTY,DATTO,2
DATTO,PATIO,PATTA,DATTO,3
DATTO,DATTO,MATTE,DATTO,4
DATTO,DATTO,DATTO,DATTO,5
DATTO,DATTO,DATTO,DATTO,6
PACER,ABCEE,AKARA,CARTE,1
PACER,RACER,RATER,MACER,2
PACER,LACER,FACER,RACER,3
PACER,PACER,MACER,LACER,4
PACER,PACER,LACER,PACER,5
PACER,PACER,PACER,PACER,6
LUTER,TERFE,ETHIC,TALER,1
LUTER,RATER,DOTED,LUTER,2
LUTER,MITER,MUTER,LUTER,3
LUTER,OUTER,LUTER,LUTER,4
LUTER,LUTER,LUTER,LUTER,5
LUTER,LUTER,LUTER,LUTER,6
MOLEY,BONEY,YONNY,POTSY,1
MOLEY,MOTEY,OOPSY,COLBY,2
MOLEY,MOLEY,TOKAY,DOLLY,3
MOLEY,MOLEY,MOLEY,FOLKY,4
MOLEY,MOLEY,MOLEY,MOLEY,5
MOLEY,MOLEY,MOLEY,MOLEY,6
BETON,SENES,HEBEN,DENTS,1
BETON,NEELE,BEGIN,PEENT,2
BETON,PEDON,BELON,JETON,3
BETON,JETON,BETON,BETON,4
BETON,BETON,BETON,BETON,5
BETON,BETON,BETON,BETON,6
SEWAR,ARBAS,TUBAS,TEARS,1
SEWAR,RESAT,ESKAR,SEWAR,2
SEWAR,SEWAR,SEGAR,SEWAR,3
SEWAR,SEWAR,SEWAR,SEWAR,4
SEWAR,SEWAR,SEWAR,SEWAR,5
SEWAR,SEWAR,SEWAR,SEWAR,6
NIGUA,NIDAL,NYAMS,NILAS,1
NIGUA,NIGUA,NIGGA,NIGGA,2
NIGUA,NIGUA,NIGUA,NIGUA,3
NIGUA,NIGUA,NIGUA,NIGUA,4
NIGUA,NIGUA,NIGUA,NIGUA,5
NIGUA,NIGUA,NIGUA,NIGUA,6
WHISS,ROODS,GUTSY,TORES,1
WHISS,TEFFS,WHISS,MILKS,2
WHISS,SILLS,WHISS,WHIGS,3
WHISS,QUIMS,WHISS,WHIDS,4
WHISS,WHIGS,WHISS,WHISS,5
WHISS,WHISS,WHISS,WHISS,6
KIRKS,RICKS,YIRKS,RINKS,1
KIRKS,PIRKS,FIRKS,YIRKS,2
KIRKS,KIRKS,BIRKS,BIRKS,3
KIRKS,KIRKS,PIRKS,KIRKS,4
KIRKS,KIRKS,KIRKS,KIRKS,5
KIRKS,KIRKS,KIRKS,KIRKS,6
ILIAC,ABRAM,LIMAX,LORAN,1
ILIAC,KAJAL,INLAY,PALAY,2
ILIAC,LOHAN,ILIAD,ALGAL,3
ILIAC,ILIAD,ILIAC,ILIAD,4
ILIAC,ILIAC,ILIAC,ILIAC,5
ILIAC,ILIAC,ILIAC,ILIAC,6
PLACK,CHANK,KYACK,TRACK,1
PLACK,DRACK,PLACK,CLACK,2
PLACK,ALACK,PLACK,FLACK,3
PLACK,FLACK,PLACK,PLACK,4
PLACK,PLACK,PLACK,PLACK,5
PLACK,PLACK,PLACK,PLACK,6
YENTE,SENTE,MENAD,TENDS,1
YENTE,KENTE,TENUE,YENTA,2
YENTE,YENTE,YENTE,YENTE,3
YENTE,YENTE,YENTE,YENTE,4
YENTE,YENTE,YENTE,YENTE,5
YENTE,YENTE,YENTE,YENTE,6
PUROS,SURAS,KUKUS,LURKS,1
PUROS,BURKS,NUMBS,BURDS,2
PUROS,CURLS,PULLS,PURRS,3
PUROS,DURNS,PURRS,PURIS,4
PUROS,FUROS,PUROS,PUROS,5
PUROS,PUROS,PUROS,PUROS,6
BBALL,NALLA,DHOLL,TOLAR,1
BBALL,COALY,MYALL,MADLY,2
BBALL,BBALL,BBALL,CHALK,3
BBALL,BBALL,BBALL,BBALL,4
BBALL,BBALL,BBALL,BBALL,5
BBALL,BBALL,BBALL,BBALL,6
JEELY,TARDY,ZESTY,PARLY,1
JEELY,SELFY,DEEDY,FILLY,2
JEELY,LEGGY,JEELY,SEELY,3
JEELY,JEELY,JEELY,DEELY,4
JEELY,JEELY,JEELY,JEELY,5
JEELY,JEELY,JEELY,JEELY,6
CAVIE,CABER,CIVES,CARES,1
CAVIE,CALVE,CAVIE,CALVE,2
CAVIE,CAVIE,CAVIE,CAVIE,3
CAVIE,CAVIE,CAVIE,CAVIE,4
CAVIE,CAVIE,CAVIE,CAVIE,5
CAVIE,CAVIE,CAVIE,CAVIE,6
KHAYA,SABES,SAMPI,TARES,1
KHAYA,DRAMA,TEXTA,CLAIM,2
KHAYA,ALATA,LUFFA,APAYD,3
KHAYA,CHAYA,ACCRA,KHAYA,4
KHAYA,KHAYA,BHAVA,KHAYA,5
KHAYA,KHAYA,KHAYA,KHAYA,6
SCORN,SCATT,SCRAP,SORTA,1
SCORN,SCORN,SCURF,SCORN,2
SCORN,SCORN,SCORN,SCORN,3
SCORN,SCORN,SCORN,SCORN,4
SCORN,SCORN,SCORN,SCORN,5
SCORN,SCORN,SCORN,SCORN,6
SIDES,SHIES,FINCH,TINES,1
SIDES,SILES,KIDEL,PILES,2
SIDES,SINES,TIDED,BIDES,3
SIDES,SITES,SIDES,HIDES,4
SIDES,SIXES,SIDES,FIDES,5
SIDES,SIZES,SIDES,SIDES,6
ENTRY,UNFED,UNETH,UNLED,1
ENTRY,ONERY,ENTER,ONERY,2
ENTRY,ENTRY,ENTRY,ENTRY,3
ENTRY,ENTRY,ENTRY,ENTRY,4
ENTRY,ENTRY,ENTRY,ENTRY,5
ENTRY,ENTRY,ENTRY,ENTRY,6
HOUGH,POULE,NYUNG,PLUTE,1
HOUGH,COUNT,GOUCH,COUGH,2
HOUGH,BOUGH,LOUGH,BOUGH,3
HOUGH,HOUGH,HOUGH,HOUGH,4
HOUGH,HOUGH,HOUGH,HOUGH,5
HOUGH,HOUGH,HOUGH,HOUGH,6
SCHWA,SOBAS,HARAM,TORAS,1
SCHWA,SCARY,WHATA,SHALY,2
SCHWA,SCHWA,SCHWA,SABHA,3
SCHWA,SCHWA,SCHWA,SCHWA,4
SCHWA,SCHWA,SCHWA,SCHWA,5
SCHWA,SCHWA,SCHWA,SCHWA,6
PARVE,RAADS,WISPS,TARES,1
PARVE,TAPER,DEPTH,PARGE,2
PARVE,CARPE,PALER,PARAE,3
PARVE,PARVE,PARGE,PARVE,4
PARVE,PARVE,PARAE,PARVE,5
PARVE,PARVE,PARVE,PARVE,6
PROLL,POOTY,PLOWT,PROAL,1
PROLL,PRORA,PROUL,PROLL,2
PROLL,PROOK,PROAL,PROLL,3
PROLL,PROMO,PROLL,PROLL,4
PROLL,PROLL,PROLL,PROLL,5
PROLL,PROLL,PROLL,PROLL,6
GENUA,REFER,TREYF,DENAR,1
GENUA,TENTY,MUXED,GENUA,2
GENUA,MENAD,BEGUN,GENUA,3
GENUA,HENNA,GENUA,GENUA,4
GENUA,GENOA,GENUA,GENUA,5
GENUA,GENUA,GENUA,GENUA,6
PLUFF,POOPS,PLUMP,POLIS,1
PLUFF,PINNY,PLUSH,PLUNK,2
PLUFF,PLUMP,PLUCK,PLUMP,3
PLUFF,PLUFF,PLUNG,PLUFF,4
PLUFF,PLUFF,PLUFF,PLUFF,5
PLUFF,PLUFF,PLUFF,PLUFF,6
STINT,RABAT,REPAT,REAST,1
STINT,SHEET,SKINT,STINT,2
STINT,SKINT,STINT,STINT,3
STINT,STINT,STINT,STINT,4
STINT,STINT,STINT,STINT,5
STINT,STINT,STINT,STINT,6
STOOP,SABES,VENTI,SAINE,1
STOOP,STOPT,SPOOT,SPOTS,2
STOOP,STOOP,STOOP,SWOPT,3
STOOP,STOOP,STOOP,STOOP,4
STOOP,STOOP,STOOP,STOOP,5
STOOP,STOOP,STOOP,STOOP,6
YEALM,ABCEE,PLEBE,RAINE,1
YEALM,LEAFY,RELIT,PELTA,2
YEALM,YEALM,FEMAL,LEAFY,3
YEALM,YEALM,MEALY,YEALM,4
YEALM,YEALM,YEALM,YEALM,5
YEALM,YEALM,YEALM,YEALM,6
GOBBO,POOTY,CYCLO,LIROT,1
GOBBO,BORGO,GUIDO,PUBCO,2
GOBBO,GOBBO,GOBBO,YOBBO,3
GOBBO,GOBBO,GOBBO,GOBBO,4
GOBBO,GOBBO,GOBBO,GOBBO,5
GOBBO,GOBBO,GOBBO,GOBBO,6
USURY,SOURS,SOURS,SAURY,1
USURY,USURY,USURY,USURY,2
USURY,USURY,USURY,USURY,3
USURY,USURY,USURY,USURY,4
USURY,USURY,USURY,USURY,5
USURY,USURY,USURY,USURY,6
TANGO,RANNS,SANTS,TAINS,1
TANGO,MANGY,TANGI,TANGY,2
TANGO,FANGO,TANGY,TANGA,3
TANGO,TANGO,TANGA,TANGO,4
TANGO,TANGO,TANGO,TANGO,5
TANGO,TANGO,TANGO,TANGO,6
TRETS,TREED,TRIPE,TARSE,1
TRETS,TREMS,TREED,TRIES,2
TRETS,TREKS,TRETS,TREWS,3
TRETS,TRESS,TRETS,TREMS,4
TRETS,TRETS,TRETS,TREYS,5
TRETS,TRETS,TRETS,TRETS,6
UPTIE,SEGUE,CHYME,TEALS,1
UPTIE,BUNJE,STILE,UNITE,2
UPTIE,EMULE,KITKE,UPTIE,3
UPTIE,UPTIE,UPTIE,UPTIE,4
UPTIE,UPTIE,UPTIE,UPTIE,5
UPTIE,UPTIE,UPTIE,UPTIE,6
LEIRS,LOLLS,LIBRI,SOLEI,1
LEIRS,LENES,LOIRS,WEILS,2
LEIRS,LEETS,LEIRS,LEIRS,3
LEIRS,LEVIS,LEIRS,LEIRS,4
LEIRS,LEIRS,LEIRS,LEIRS,5
LEIRS,LEIRS,LEIRS,LEIRS,6
BURRS,BERES,BERGS,BORES,1
BURRS,BORMS,BORDS,BURLS,2
BURRS,BIRLS,BURLS,BURPS,3
BURRS,BURNS,BURPS,BURGS,4
BURRS,BURGS,BURNS,BURNS,5
BURRS,BURRS,BURRS,BURDS,6
DARAF,PARED,NARCO,CARTE,1
DARAF,CARDY,FARER,BARDY,2
DARAF,DARAF,YARFA,DARZI,3
DARAF,DARAF,DARAF,DARAF,4
DARAF,DARAF,DARAF,DARAF,5
DARAF,DARAF,DARAF,DARAF,6
TRYPS,RAADS,WHAMS,RAITS,1
TRYPS,TORRS,ZOOKS,TYROS,2
TRYPS,TRINS,PYXIS,TRYPS,3
TRYPS,TRYPS,TRYPS,TRYPS,4
TRYPS,TRYPS,TRYPS,TRYPS,5
TRYPS,TRYPS,TRYPS,TRYPS,6
GUGGL,SAAGS,AGUNA,GAIRS,1
GUGGL,DUNGY,GULCH,GULPH,2
GUGGL,LURGI,GUSLI,GUGGL,3
GUGGL,GUGGL,GUGGL,GUGGL,4
GUGGL,GUGGL,GUGGL,GUGGL,5
GUGGL,GUGGL,GUGGL,GUGGL,6
FABLE,SANES,MATHS,TALES,1
FABLE,KAMME,WALLA,HABLE,2
FABLE,LAPJE,PAOLO,GABLE,3
FABLE,HAOLE,FABLE,FABLE,4
FABLE,EAGLE,FABLE,FABLE,5
FABLE,TABLE,FABLE,FABLE,6
SNYES,SABES,BAYER,LARES,1
SNYES,SILES,GUYED,DINES,2
SNYES,SERES,SCYES,NUKES,3
SNYES,SKEES,SNYES,SNEES,4
SNYES,SUPES,SNYES,SNYES,5
SNYES,SYNES,SNYES,SNYES,6
GRAVS,RAADS,FIEFS,TARES,1
GRAVS,TSARS,MAUDS,GRADS,2
GRAVS,CRANS,STAGS,GRAMS,3
GRAVS,GRAYS,GRANS,GRAVS,4
GRAVS,GRASS,GRAYS,GRAVS,5
GRAVS,GRAVS,GRASS,GRAVS,6
SMOKE,SADES,MOMES,TARES,1
SMOKE,STELE,SMORE,SPILE,2
SMOKE,SPIRE,SMOTE,SMOKE,3
SMOKE,SHOVE,SMOKE,SMOKE,4
SMOKE,SMOKE,SMOKE,SMOKE,5
SMOKE,SMOKE,SMOKE,SMOKE,6
DAPPY,RAADS,DARZI,LARIS,1
DAPPY,GADID,DAMPY,MANGY,2
DAPPY,DANNY,DAPPY,BAWDY,3
DAPPY,DALLY,DAPPY,DAPPY,4
DAPPY,DAMPY,DAPPY,DAPPY,5
DAPPY,DAPPY,DAPPY,DAPPY,6
SPIAL,SETAL,AXIAL,TEPAL,1
SPIAL,SPIAL,SPIAL,PIBAL,2
SPIAL,SPIAL,SPIAL,SPIAL,3
SPIAL,SPIAL,SPIAL,SPIAL,4
SPIAL,SPIAL,SPIAL,SPIAL,5
SPIAL,SPIAL,SPIAL,SPIAL,6
PULAO,RURAL,NUGAE,RUMAL,1
PULAO,MULAI,DUCAL,GULAG,2
PULAO,PULAO,MULAI,PULAO,3
PULAO,PULAO,PULAO,PULAO,4
PULAO,PULAO,PULAO,PULAO,5
PULAO,PULAO,PULAO,PULAO,6
MANSO,SCOOP,SCROW,SALOP,1
MANSO,LASSO,MANSO,CANSO,2
MANSO,MANSO,MANSO,MANSO,3
MANSO,MANSO,MANSO,MANSO,4
MANSO,MANSO,MANSO,MANSO,5
MANSO,MANSO,MANSO,MANSO,6
USENS,SABES,PUNTS,TARES,1
USENS,TEETS,NODUS,DEENS,2
USENS,PRESS,FAUNS,OVENS,3
USENS,OUENS,USENS,HYENS,4
USENS,USENS,USENS,USENS,5
USENS,USENS,USENS,USENS,6
GUIDE,PIGGY,MIRLY,LINER,1
GUIDE,BRING,WEIGH,DEICE,2
GUIDE,GLIME,OGIVE,IMIDE,3
GUIDE,GUIDE,GUIDE,GUIDE,4
GUIDE,GUIDE,GUIDE,GUIDE,5
GUIDE,GUIDE,GUIDE,GUIDE,6
LIROT,SOOTS,THIRD,RIOTS,1
LIROT,THROW,SPRIT,VITRO,2
LIROT,LIROT,LIROT,LIROT,3
LIROT,LIROT,LIROT,LIROT,4
LIROT,LIROT,LIROT,LIROT,5
LIROT,LIROT,LIROT,LIROT,6
GASSY,SCARY,SOAPY,PASTY,1
GASSY,BASSY,VASTY,GASSY,2
GASSY,LASSY,GASSY,GASSY,3
GASSY,MASSY,GASSY,GASSY,4
GASSY,GASSY,GASSY,GASSY,5
GASSY,GASSY,GASSY,GASSY,6
OGIVE,SHIES,PAKKI,RINES,1
OGIVE,BEING,RIDES,AMIDE,2
OGIVE,GRIPE,BEIGE,BEIGE,3
OGIVE,OGIVE,OGIVE,OGIVE,4
OGIVE,OGIVE,OGIVE,OGIVE,5
OGIVE,OGIVE,OGIVE,OGIVE,6
POOKS,SOOTS,THOUS,PORTS,1
POOKS,BOOKS,GROKS,PODOS,2
POOKS,COOKS,BOOKS,POOKS,3
POOKS,DOOKS,KOOKS,POOKS,4
POOKS,GOOKS,SOOKS,POOKS,5
POOKS,HOOKS,DOOKS,POOKS,6
RIVED,RIMER,RINCE,RILED,1
RIVED,RIPED,RIPED,RIPED,2
RIVED,RIVED,RIVED,RICED,3
RIVED,RIVED,RIVED,RIVED,4
RIVED,RIVED,RIVED,RIVED,5
RIVED,RIVED,RIVED,RIVED,6
SAUBA,SABRE,SATEM,STALE,1
SAUBA,SAMBO,SABZI,SABIR,2
SAUBA,SAUBA,SAUBA,SAUBA,3
SAUBA,SAUBA,SAUBA,SAUBA,4
SAUBA,SAUBA,SAUBA,SAUBA,5
SAUBA,SAUBA,SAUBA,SAUBA,6
COMMO,POOPY,FLUNK,MORIN,1
COMMO,MORIN,BODGY,COMBY,2
COMMO,COMMO,ZOPPO,COMMO,3
COMMO,COMMO,COCCO,COMMO,4
COMMO,COMMO,COMMO,COMMO,5
COMMO,COMMO,COMMO,COMMO,6
MOGUL,SONES,JIRDS,LORES,1
MOGUL,BOOMY,POGEY,MOLDY,2
MOGUL,MOLLO,LOGON,MOGUL,3
MOGUL,MOGUL,MOGUL,MOGUL,4
MOGUL,MOGUL,MOGUL,MOGUL,5
MOGUL,MOGUL,MOGUL,MOGUL,6
SHYER,SHREW,MURGH,HIRES,1
SHYER,SHEER,WHIRR,SHYER,2
SHYER,SHIER,KHEER,SHYER,3
SHYER,SHYER,SHYER,SHYER,4
SHYER,SHYER,SHYER,SHYER,5
SHYER,SHYER,SHYER,SHYER,6
CLADS,COBBS,COOFS,COALS,1
CLADS,CACAS,CALMS,CLASS,2
CLADS,CRANS,CLAWS,CLANS,3
CLADS,CLAMS,CLADS,CLADS,4
CLADS,CLAPS,CLADS,CLADS,5
